iter;v
0;0,0.0945997,0.188325,0.280209,0.369459,0.455077,0.536415,0.61249,0.682777,0.746345,0.802878,0.851537,0.892165,0.924017,0.947151,0.96099,0.965744,0.96099,0.947151,0.924017,0.892165,0.851537,0.802878,0.746345,0.682777,0.61249,0.536415,0.455077,0.369459,0.280209,0.188325,0.0945997,4.15372e-16,-0.0945997,-0.188325,-0.280209,-0.369459,-0.455077,-0.536415,-0.61249,-0.682777,-0.746345,-0.802878,-0.851537,-0.892165,-0.924017,-0.947151,-0.96099,-0.965744,-0.96099,-0.947151,-0.924017,-0.892165,-0.851537,-0.802878,-0.746345,-0.682777,-0.61249,-0.536415,-0.455077,-0.369459,-0.280209,-0.188325,-0.0945997,0
1;0,0.0979719,0.195002,0.290153,0.382513,0.471186,0.555325,0.634113,0.706798,0.772671,0.831109,0.881537,0.923482,0.956526,0.980366,0.994757,0.999574,0.994757,0.980366,0.956526,0.923482,0.881537,0.831109,0.772671,0.706798,0.634113,0.555325,0.471186,0.382513,0.290153,0.195002,0.0979719,9.99614e-16,-0.0979719,-0.195002,-0.290153,-0.382513,-0.471186,-0.555325,-0.634113,-0.706798,-0.772671,-0.831109,-0.881537,-0.923482,-0.956526,-0.980366,-0.994757,-0.999574,-0.994757,-0.980366,-0.956526,-0.923482,-0.881537,-0.831109,-0.772671,-0.706798,-0.634113,-0.555325,-0.471186,-0.382513,-0.290153,-0.195002,-0.0979719,0
2;0,0.0980915,0.195238,0.290505,0.382974,0.471755,0.555992,0.634875,0.707644,0.773598,0.832102,0.882592,0.924582,0.957668,0.981531,0.995941,1.00076,0.995941,0.981531,0.957668,0.924582,0.882592,0.832102,0.773598,0.707644,0.634875,0.555992,0.471755,0.382974,0.290505,0.195238,0.0980915,-4.25217e-17,-0.0980915,-0.195238,-0.290505,-0.382974,-0.471755,-0.555992,-0.634875,-0.707644,-0.773598,-0.832102,-0.882592,-0.924582,-0.957668,-0.981531,-0.995941,-1.00076,-0.995941,-0.981531,-0.957668,-0.924582,-0.882592,-0.832102,-0.773598,-0.707644,-0.634875,-0.555992,-0.471755,-0.382974,-0.290505,-0.195238,-0.0980915,0
3;0,0.0980957,0.195247,0.290517,0.38299,0.471775,0.556016,0.634902,0.707674,0.77363,0.832136,0.882629,0.924621,0.957708,0.981572,0.995983,1.0008,0.995983,0.981572,0.957708,0.924621,0.882629,0.832136,0.77363,0.707674,0.634902,0.556016,0.471775,0.38299,0.290517,0.195247,0.0980957,6.26777e-16,-0.0980957,-0.195247,-0.290517,-0.38299,-0.471775,-0.556016,-0.634902,-0.707674,-0.77363,-0.832136,-0.882629,-0.924621,-0.957708,-0.981572,-0.995983,-1.0008,-0.995983,-0.981572,-0.957708,-0.924621,-0.882629,-0.832136,-0.77363,-0.707674,-0.634902,-0.556016,-0.471775,-0.38299,-0.290517,-0.195247,-0.0980957,0
4;0,0.0980959,0.195247,0.290518,0.382991,0.471776,0.556017,0.634903,0.707675,0.773632,0.832138,0.88263,0.924622,0.957709,0.981573,0.995984,1.0008,0.995984,0.981573,0.957709,0.924622,0.88263,0.832138,0.773632,0.707675,0.634903,0.556017,0.471776,0.382991,0.290518,0.195247,0.0980959,-6.38185e-16,-0.0980959,-0.195247,-0.290518,-0.382991,-0.471776,-0.556017,-0.634903,-0.707675,-0.773632,-0.832138,-0.88263,-0.924622,-0.957709,-0.981573,-0.995984,-1.0008,-0.995984,-0.981573,-0.957709,-0.924622,-0.88263,-0.832138,-0.773632,-0.707675,-0.634903,-0.556017,-0.471776,-0.382991,-0.290518,-0.195247,-0.0980959,0
5;0,0.0980959,0.195247,0.290518,0.382991,0.471776,0.556017,0.634903,0.707675,0.773632,0.832138,0.88263,0.924622,0.957709,0.981573,0.995984,1.0008,0.995984,0.981573,0.957709,0.924622,0.88263,0.832138,0.773632,0.707675,0.634903,0.556017,0.471776,0.382991,0.290518,0.195247,0.0980959,1.72457e-15,-0.0980959,-0.195247,-0.290518,-0.382991,-0.471776,-0.556017,-0.634903,-0.707675,-0.773632,-0.832138,-0.88263,-0.924622,-0.957709,-0.981573,-0.995984,-1.0008,-0.995984,-0.981573,-0.957709,-0.924622,-0.88263,-0.832138,-0.773632,-0.707675,-0.634903,-0.556017,-0.471776,-0.382991,-0.290518,-0.195247,-0.0980959,0
6;0,0.0980959,0.195247,0.290518,0.382991,0.471776,0.556017,0.634903,0.707675,0.773632,0.832138,0.88263,0.924622,0.957709,0.981573,0.995984,1.0008,0.995984,0.981573,0.957709,0.924622,0.88263,0.832138,0.773632,0.707675,0.634903,0.556017,0.471776,0.382991,0.290518,0.195247,0.0980959,3.38267e-15,-0.0980959,-0.195247,-0.290518,-0.382991,-0.471776,-0.556017,-0.634903,-0.707675,-0.773632,-0.832138,-0.88263,-0.924622,-0.957709,-0.981573,-0.995984,-1.0008,-0.995984,-0.981573,-0.957709,-0.924622,-0.88263,-0.832138,-0.773632,-0.707675,-0.634903,-0.556017,-0.471776,-0.382991,-0.290518,-0.195247,-0.0980959,0
7;0,0.0980959,0.195247,0.290518,0.382991,0.471776,0.556017,0.634903,0.707675,0.773632,0.832138,0.88263,0.924622,0.957709,0.981573,0.995984,1.0008,0.995984,0.981573,0.957709,0.924622,0.88263,0.832138,0.773632,0.707675,0.634903,0.556017,0.471776,0.382991,0.290518,0.195247,0.0980959,1.18066e-16,-0.0980959,-0.195247,-0.290518,-0.382991,-0.471776,-0.556017,-0.634903,-0.707675,-0.773632,-0.832138,-0.88263,-0.924622,-0.957709,-0.981573,-0.995984,-1.0008,-0.995984,-0.981573,-0.957709,-0.924622,-0.88263,-0.832138,-0.773632,-0.707675,-0.634903,-0.556017,-0.471776,-0.382991,-0.290518,-0.195247,-0.0980959,0
