iter;residual_norm;error_norm
0;25.6206;0.566519
1;0.908816;0.0198715
2;0.0322631;0.000510122
3;0.00114619;0.000175622
4;4.07487e-05;0.000199907
5;1.44967e-06;0.000200768
6;5.15952e-08;0.000200798
7;2.02377e-09;0.000200799
