iter;v
0;0,0.0153795,0.0302711,0.0446746,0.0585903,0.0720178,0.0849572,0.0974083,0.109371,0.120846,0.131832,0.14233,0.15234,0.161861,0.170895,0.179439,0.187496,0.195064,0.202145,0.208736,0.21484,0.220455,0.225582,0.230221,0.234371,0.238033,0.241207,0.243893,0.24609,0.247799,0.24902,0.249752,0.249996,0.249752,0.24902,0.247799,0.24609,0.243893,0.241207,0.238033,0.234371,0.230221,0.225582,0.220455,0.21484,0.208736,0.202145,0.195064,0.187496,0.179439,0.170895,0.161861,0.15234,0.14233,0.131832,0.120846,0.109371,0.0974083,0.0849572,0.0720178,0.0585903,0.0446746,0.0302711,0.0153795,0
1;0,0.0153809,0.0302734,0.0446777,0.0585937,0.0720215,0.0849609,0.0974121,0.109375,0.12085,0.131836,0.142334,0.152344,0.161865,0.170898,0.179443,0.1875,0.195068,0.202148,0.20874,0.214844,0.220459,0.225586,0.230225,0.234375,0.238037,0.241211,0.243896,0.246094,0.247803,0.249023,0.249756,0.25,0.249756,0.249023,0.247803,0.246094,0.243896,0.241211,0.238037,0.234375,0.230225,0.225586,0.220459,0.214844,0.20874,0.202148,0.195068,0.1875,0.179443,0.170898,0.161865,0.152344,0.142334,0.131836,0.12085,0.109375,0.0974121,0.0849609,0.0720215,0.0585937,0.0446777,0.0302734,0.0153809,0
2;0,0.0153809,0.0302734,0.0446777,0.0585937,0.0720215,0.0849609,0.0974121,0.109375,0.12085,0.131836,0.142334,0.152344,0.161865,0.170898,0.179443,0.1875,0.195068,0.202148,0.20874,0.214844,0.220459,0.225586,0.230225,0.234375,0.238037,0.241211,0.243896,0.246094,0.247803,0.249023,0.249756,0.25,0.249756,0.249023,0.247803,0.246094,0.243896,0.241211,0.238037,0.234375,0.230225,0.225586,0.220459,0.214844,0.20874,0.202148,0.195068,0.1875,0.179443,0.170898,0.161865,0.152344,0.142334,0.131836,0.12085,0.109375,0.0974121,0.0849609,0.0720215,0.0585937,0.0446777,0.0302734,0.0153809,0
3;0,0.0153809,0.0302734,0.0446777,0.0585937,0.0720215,0.0849609,0.0974121,0.109375,0.12085,0.131836,0.142334,0.152344,0.161865,0.170898,0.179443,0.1875,0.195068,0.202148,0.20874,0.214844,0.220459,0.225586,0.230225,0.234375,0.238037,0.241211,0.243896,0.246094,0.247803,0.249023,0.249756,0.25,0.249756,0.249023,0.247803,0.246094,0.243896,0.241211,0.238037,0.234375,0.230225,0.225586,0.220459,0.214844,0.20874,0.202148,0.195068,0.1875,0.179443,0.170898,0.161865,0.152344,0.142334,0.131836,0.12085,0.109375,0.0974121,0.0849609,0.0720215,0.0585937,0.0446777,0.0302734,0.0153809,0
