iter;v
0;0,0.0153753,0.0302732,0.0446713,0.0585937,0.0720181,0.0849607,0.0974106,0.109375,0.120849,0.131836,0.142333,0.152344,0.161865,0.170899,0.179443,0.1875,0.195068,0.202148,0.20874,0.214844,0.220458,0.225586,0.230224,0.234375,0.238037,0.241211,0.243896,0.246094,0.247802,0.249023,0.249755,0.25,0.249755,0.249023,0.247802,0.246094,0.243896,0.241211,0.238037,0.234375,0.230224,0.225586,0.220458,0.214844,0.20874,0.202148,0.195068,0.1875,0.179443,0.170899,0.161865,0.152344,0.142333,0.131836,0.120849,0.109375,0.0974106,0.0849607,0.0720181,0.0585937,0.0446713,0.0302732,0.0153753,0
1;0,0.0153808,0.0302734,0.0446777,0.0585937,0.0720215,0.0849609,0.0974121,0.109375,0.12085,0.131836,0.142334,0.152344,0.161865,0.170898,0.179443,0.1875,0.195068,0.202148,0.20874,0.214844,0.220459,0.225586,0.230225,0.234375,0.238037,0.241211,0.243896,0.246094,0.247803,0.249023,0.249756,0.25,0.249756,0.249023,0.247803,0.246094,0.243896,0.241211,0.238037,0.234375,0.230225,0.225586,0.220459,0.214844,0.20874,0.202148,0.195068,0.1875,0.179443,0.170898,0.161865,0.152344,0.142334,0.131836,0.12085,0.109375,0.0974121,0.0849609,0.0720215,0.0585937,0.0446777,0.0302734,0.0153808,0
2;0,0.0153809,0.0302734,0.0446777,0.0585937,0.0720215,0.0849609,0.0974121,0.109375,0.12085,0.131836,0.142334,0.152344,0.161865,0.170898,0.179443,0.1875,0.195068,0.202148,0.20874,0.214844,0.220459,0.225586,0.230225,0.234375,0.238037,0.241211,0.243896,0.246094,0.247803,0.249023,0.249756,0.25,0.249756,0.249023,0.247803,0.246094,0.243896,0.241211,0.238037,0.234375,0.230225,0.225586,0.220459,0.214844,0.20874,0.202148,0.195068,0.1875,0.179443,0.170898,0.161865,0.152344,0.142334,0.131836,0.12085,0.109375,0.0974121,0.0849609,0.0720215,0.0585937,0.0446777,0.0302734,0.0153809,0
3;0,0.0153809,0.0302734,0.0446777,0.0585937,0.0720215,0.0849609,0.0974121,0.109375,0.12085,0.131836,0.142334,0.152344,0.161865,0.170898,0.179443,0.1875,0.195068,0.202148,0.20874,0.214844,0.220459,0.225586,0.230225,0.234375,0.238037,0.241211,0.243896,0.246094,0.247803,0.249023,0.249756,0.25,0.249756,0.249023,0.247803,0.246094,0.243896,0.241211,0.238037,0.234375,0.230225,0.225586,0.220459,0.214844,0.20874,0.202148,0.195068,0.1875,0.179443,0.170898,0.161865,0.152344,0.142334,0.131836,0.12085,0.109375,0.0974121,0.0849609,0.0720215,0.0585937,0.0446777,0.0302734,0.0153809,0
4;0,0.0153809,0.0302734,0.0446777,0.0585938,0.0720215,0.0849609,0.0974121,0.109375,0.12085,0.131836,0.142334,0.152344,0.161865,0.170898,0.179443,0.1875,0.195068,0.202148,0.20874,0.214844,0.220459,0.225586,0.230225,0.234375,0.238037,0.241211,0.243896,0.246094,0.247803,0.249023,0.249756,0.25,0.249756,0.249023,0.247803,0.246094,0.243896,0.241211,0.238037,0.234375,0.230225,0.225586,0.220459,0.214844,0.20874,0.202148,0.195068,0.1875,0.179443,0.170898,0.161865,0.152344,0.142334,0.131836,0.12085,0.109375,0.0974121,0.0849609,0.0720215,0.0585938,0.0446777,0.0302734,0.0153809,0
